file_name,steering_target,speed_target,type_label
DRITTO_0_v0p85_s0p25.png,0.24536518013919772,0.85,DRITTO
DRITTO_1_v0p25_s0p18.png,0.17655270116316682,0.25,DRITTO
DRITTO_2_v0p25_s0p42.png,0.41506554032980514,0.25,DRITTO
DRITTO_3_v0p85_s0p08.png,0.08045006082992252,0.85,DRITTO
DRITTO_4_v0p92_s0p19.png,0.18573175051394522,0.9249999999999999,DRITTO
DRITTO_5_v0p85_s0p41.png,0.4059001799953638,0.85,DRITTO
DRITTO_6_v0p18_s-0p07.png,-0.06985493515413259,0.175,DRITTO
DRITTO_7_v0p48_s0p34.png,0.33784074372834666,0.475,DRITTO
DRITTO_8_v0p85_s0p36.png,0.35787946855397357,0.85,DRITTO
DRITTO_9_v0p25_s-0p18.png,-0.17818137838691142,0.25,DRITTO
DRITTO_10_v0p18_s0p37.png,0.3682000193514904,0.175,DRITTO
DRITTO_11_v0p48_s-0p21.png,-0.20574829027951924,0.475,DRITTO
DRITTO_12_v0p55_s-0p02.png,-0.020490872200496925,0.55,DRITTO
DRITTO_13_v0p32_s-0p04.png,-0.04433594921897104,0.325,DRITTO
DRITTO_14_v0p48_s0p05.png,0.05155789065413947,0.475,DRITTO
DRITTO_15_v0p55_s0p42.png,0.4191384998589335,0.55,DRITTO
DRITTO_16_v0p78_s0p12.png,0.12098723554940236,0.775,DRITTO
DRITTO_17_v1p0_s-0p16.png,-0.16151711477944097,1.0,DRITTO
DRITTO_18_v1p0_s-0p31.png,-0.30739010911806425,1.0,DRITTO
DRITTO_19_v0p48_s0p31.png,0.31162689280384315,0.475,DRITTO
DRITTO_20_v0p32_s-0p44.png,-0.44293712169746985,0.325,DRITTO
DRITTO_21_v0p62_s0p14.png,0.1437789455290408,0.625,DRITTO
DRITTO_22_v0p18_s-0p05.png,-0.05321719872748641,0.175,DRITTO
DRITTO_23_v0p25_s0p38.png,0.38396983994922673,0.25,DRITTO
DRITTO_24_v0p4_s-0p37.png,-0.36953034844070565,0.4,DRITTO
DRITTO_25_v0p62_s-0p13.png,-0.1335346518263542,0.625,DRITTO
DRITTO_26_v0p92_s0p19.png,0.1944929255525182,0.9249999999999999,DRITTO
DRITTO_27_v0p48_s-0p2.png,-0.20354930643985397,0.475,DRITTO
DRITTO_28_v0p32_s-0p3.png,-0.29678863561001223,0.325,DRITTO
DRITTO_29_v0p85_s0p08.png,0.0844790756715188,0.85,DRITTO
DRITTO_30_v1p0_s0p0.png,0.00048513110292769753,1.0,DRITTO
DRITTO_31_v0p85_s0p33.png,0.3269034850602699,0.85,DRITTO
DRITTO_32_v0p4_s0p17.png,0.1661084923569462,0.4,DRITTO
DRITTO_33_v0p92_s-0p38.png,-0.379707583967667,0.9249999999999999,DRITTO
DRITTO_34_v0p1_s-0p1.png,-0.10239674665271423,0.1,DRITTO
DRITTO_35_v0p32_s-0p02.png,-0.0184787057119207,0.325,DRITTO
DRITTO_36_v0p85_s-0p02.png,-0.022800501920923744,0.85,DRITTO
DRITTO_37_v0p48_s0p0.png,0.001561617288054979,0.475,DRITTO
DRITTO_38_v0p85_s-0p41.png,-0.4105741991007739,0.85,DRITTO
DRITTO_39_v1p0_s0p23.png,0.22928194907803653,1.0,DRITTO
DRITTO_40_v0p1_s-0p22.png,-0.22058027514744727,0.1,DRITTO
DRITTO_41_v0p18_s0p25.png,0.24938440224245387,0.175,DRITTO
DRITTO_42_v0p48_s-0p44.png,-0.43656324334121227,0.475,DRITTO
DRITTO_43_v0p78_s0p04.png,0.03994814471965644,0.775,DRITTO
DRITTO_44_v0p78_s-0p27.png,-0.2738940564294375,0.775,DRITTO
DRITTO_45_v0p4_s0p06.png,0.06348454619505384,0.4,DRITTO
DRITTO_46_v0p48_s-0p05.png,-0.05077634405386735,0.475,DRITTO
DRITTO_47_v0p18_s-0p23.png,-0.23383322965397701,0.175,DRITTO
